month,hours,demand_gwh,nuclear_gwh,coal_gwh,oil_steam_gwh,oil_ct_gwh,hydro_gwh,wind_gwh,solar_gwh,wind_curtailed_gwh,solar_curtailed_gwh
1,744,1792.4382867098748,551.6170054619937,453.50024737766876,218.7360000044063,47.616000000495134,223.19999998492415,204.2113972513964,93.55763662902716,2.741238361515605,3.406076132250746e-10
2,672,1572.0007085327027,481.6753780258252,387.36596669928736,197.56800000304645,43.00800000037171,201.5999999890705,179.3640977251045,81.41926609004942,2.0759022748954656,2.7685055670190195e-10
3,744,1649.9546677400588,492.0353221616028,390.04526429819464,218.73600000319195,47.6160000003917,223.19999998669104,194.17777127468256,84.14431001533066,1.8844191202251042,2.2659638432287465e-10
4,720,1491.486034969546,413.4395349193985,337.44529837951904,211.68000000203503,46.08000000027184,215.64408764452708,192.7777554253868,74.41935859841715,1.528424796717017,9.537207598100395e-07
5,744,1445.7402977650438,363.1018859618455,325.2799242492763,218.73600000197473,47.61600000028482,215.73872801682296,204.75687276529317,70.5108867695584,1.0868226663894718,2.6990541804963185e-06
6,720,1344.2238162529404,323.5616249121242,307.9998975340237,211.68000000244933,46.08000000036099,201.3431506992781,189.02870791459907,64.53043519028044,0.5014164316144984,5.463168796680407e-06
7,744,1386.8045864552294,327.99422114977347,316.88632735264184,218.7360000026475,47.616000000399275,206.23062229404397,202.86810682624565,66.47330882946623,0.6206504921812771,6.9915999737730776e-06
8,744,1440.49980189675,362.8789576934192,325.4931099868575,218.736000002375,47.61600000033293,215.66979300756017,200.1080982439617,69.9978429622253,0.8888931055001897,2.8887025966071177e-06
9,720,1484.583040874711,410.97196304965985,337.7143288572619,211.680000002837,46.08000000036504,215.37276055774603,189.02043186550213,73.74355654135942,1.398993458789489,1.1110580107214218e-06
10,744,1642.8598648942927,481.9488093479135,383.28164106795947,218.7360000032646,47.61600000039204,223.19999998520652,204.6276844168346,83.44973007276484,2.3249511960773823,3.1522647248038993e-10
11,720,1681.5102333094471,515.6232809920516,415.01654890397015,211.68000000398166,46.080000000474435,215.99999998531237,190.21794011491397,86.89246330868862,2.0899989478824814,3.155973899993114e-10
12,744,1792.3986605994032,555.3561068489224,458.16576635864516,218.73600000429994,47.61600000047087,223.19999998643536,195.83051712772212,93.49427027290844,2.2299144264929205,3.3590988834930614e-10
